bus name,si,vi,Va,Vb,Vc,Load_served_flag,total P load
m1047300,0.0,1.0,1.0349459303573603,1.0361830553844233,1.0361027736900037,1,0.0
regxfmr_hvmv11sub3_lsb,0.0,1.0,1.0345551495974532,1.0359281639480702,1.035871510984594,1,0.0
d5513564-1_int,0.0,1.0,1.0358395678210868,1.0354495038471236,1.0350256178702473,1,0.0
m1047299,0.0,1.0,1.0346676539999131,1.0359441219613936,1.03599255307618,1,0.0
l3027116,1.0,1.0,1.0352756459432415,1.0365058178136561,1.0364700384151977,1,5.32
hvmv11sub3_lsb,0.0,1.0,1.0345551403307058,1.035928154747985,1.0358715028592131,1,0.0
e192201,0.0,1.0,1.0358395267449547,1.035449465590639,1.0350255719589805,1,0.0
l3139121,0.0,1.0,1.0344655351050125,1.0357745928926794,1.0359174433772627,1,0.0
l3104157,1.0,1.0,0.0,0.0,1.0359785089802749,1,10.17
m1047303,0.0,1.0,1.0356179469012794,1.036846608331453,1.0368538093917097,1,0.0
e203026,0.0,1.0,1.0345551310639756,1.03592814554791,1.0358714947338492,1,0.0
m1209800,0.0,1.0,1.035428859202196,1.0349900530009264,1.0344917232988458,1,0.0
l2763153,1.0,1.0,1.0341284556512955,1.0354918763839345,1.035792201318746,1,8.87
l3254238,1.0,1.0,1.036116362142919,1.0372928399659584,1.0373356561899678,1,9.73
n1145954,0.0,1.0,1.03561681198574,1.036845300796426,1.0368525208146284,1,0.0
l3048230,1.0,1.0,0.0,0.0,1.0363439147469335,1,10.17
m1009650,0.0,1.0,1.0351889574465416,1.036402012564043,1.0361956467270013,1,0.0
m1209797,0.0,1.0,1.0347532081792938,1.0344311871338867,1.0339257000628042,1,0.0
p829957,0.0,1.0,0.0,0.0,1.0344014887463724,1,0.0
l2839332,0.0,1.0,0.0,0.0,1.0344917232988458,1,0.0
m1047293,0.0,1.0,1.0339146989976424,1.0353067238586569,1.0357126425879304,1,0.0
l2673346,1.0,1.0,1.0367603692010061,1.0378626623893203,1.037970917756815,1,10.170000000000002
p827580,0.0,1.0,1.035615250717695,1.0368435020607627,1.0368507481588656,1,0.0
l2991943,1.0,1.0,0.0,0.0,1.0362439718829868,1,10.17
m1009651,0.0,1.0,1.0352100344077357,1.0364177715751857,1.0362064275913616,1,0.0
m1209791,0.0,1.0,1.0341560857485854,1.0339373287568479,1.0334255134783434,1,0.0
d5746703-1_int,0.0,1.0,0.0,0.0,1.0344014828868342,1,0.0
m1047292,0.0,1.0,1.0338258439433847,1.0352297605808884,1.03567957439979,1,0.0
e182748,0.0,1.0,1.0370831682201263,1.0381425008265062,1.038279923054691,1,0.0
d5686080-1_int,0.0,1.0,1.0356130750631167,1.0368409954901852,1.0368482779311738,1,0.0
m1047319,0.0,1.0,0.0,0.0,1.036159945418549,1,0.0
m1026655,0.0,1.0,1.0353613115120344,1.036525710794999,1.0362764339010222,1,0.0
l2879092,1.0,1.0,0.0,0.0,1.0361929867631365,1,10.170000000000002
m1209790,0.0,1.0,1.033678402078355,1.0335129477267557,1.033016356293083,1,0.0
p903354,0.0,1.0,1.034151490060407,0.0,0.0,1,0.0
l3160863,1.0,1.0,0.0,0.0,1.0329252122532266,1,6.1
l2691954,1.0,1.0,1.033425424959515,1.0348948613996078,1.035544968354697,1,9.73
l2766750,1.0,1.0,0.0,0.0,1.035647973053641,1,15.260000000000002
d6049825-1_int,0.0,1.0,1.0370831925784467,1.0381425231247827,1.038279947555936,1,0.0
f739845,0.0,1.0,1.035613074856413,1.0368409952637083,1.0368482776944572,1,0.0
m1047318,0.0,1.0,0.0,0.0,1.036106394074726,1,0.0
l2991921,1.0,1.0,0.0,0.0,1.036150693740089,1,10.17
m1026658,0.0,1.0,1.0355409717667654,1.0366448259291448,1.0363358689922237,1,0.0
n1141475,0.0,1.0,0.0,0.0,1.0362685216183112,1,0.0
n1141474,0.0,1.0,1.0353601991008894,0.0,0.0,1,0.0
m1209788,0.0,1.0,1.0331669860254529,1.0330586225939937,1.0325783357866476,1,0.0
l2936270,1.0,1.0,1.0340902754464207,0.0,0.0,1,8.870000000000001
l2730108,1.0,1.0,0.0,0.0,1.030205961097623,1,6.1
l3122849,1.0,1.0,1.0331371275158927,1.034657263221734,1.035443009012663,1,5.84
m1047309,0.0,1.0,1.0371062588410576,1.038162519998163,1.0383020283214641,1,0.0
293471,1.0,1.0,1.0356047957539236,1.0368314569065142,1.0368388776351487,1,28.770000000000003
l2841637,1.0,1.0,0.0,0.0,1.0360799170602573,1,10.17
l3254205,1.0,1.0,0.0,0.0,1.0360079574426797,1,10.17
l2673319,1.0,1.0,1.0356222711303824,1.0367023372738506,1.0363627669945135,1,6.1
l3172805,1.0,1.0,1.0355172314027077,0.0,0.0,1,8.87
m1009655,0.0,1.0,0.0,0.0,1.0362624236408042,1,0.0
l2710518,1.0,1.0,1.0353549247652776,0.0,0.0,1,8.87
m1209787,0.0,1.0,1.0322347263303602,1.0322363695600292,1.0317889137351692,1,0.0
m1209795,0.0,1.0,0.0,0.0,1.0325619594554796,1,0.0
l3086078,1.0,1.0,1.0340251945422434,0.0,0.0,1,8.87
l2786204,1.0,1.0,0.0,0.0,1.0294849663338623,1,15.26
m1026357,0.0,1.0,1.0327614570793153,1.0343504598931053,1.035306172477917,1,0.0
n1137960,0.0,1.0,1.0372331686292768,1.0382725431772775,1.0384235163233737,1,0.0
m1026662,0.0,1.0,1.035976582818617,1.036946198155521,1.036470971916789,1,0.0
p827528,0.0,1.0,0.0,0.0,1.0362584890026223,1,0.0
l2823611,1.0,1.0,1.0311523375291143,1.031281812642755,1.0308725016200448,1,5.32
l2936268,1.0,1.0,0.0,0.0,1.0325483655506793,1,6.1
m4118755,0.0,1.0,1.033969269871015,0.0,0.0,1,0.0
m1209819,0.0,1.0,0.0,0.0,1.0289081707387695,1,0.0
m1026356,0.0,1.0,1.0326237253179398,1.0342451523107992,1.0352649392124027,1,0.0
l3178997,1.0,1.0,0.0,0.0,1.03524691678328,1,6.1
m1047312,0.0,1.0,1.0373097004043195,1.0383388925101769,1.0384967788551098,1,0.0
m1026670,0.0,1.0,1.0360977917974614,1.0370274295304986,1.0364979748957586,1,0.0
n1140831,0.0,1.0,0.0,0.0,1.0364594013952404,1,0.0
n1140832,0.0,1.0,0.0,0.0,1.0364687077229615,1,0.0
n1141473,0.0,1.0,1.0359721920077363,0.0,0.0,1,0.0
221-240988,0.0,1.0,0.0,0.0,1.0362549410949278,1,0.0
l3030204,1.0,1.0,1.0304286859481193,1.0306374285079754,1.0302579967995797,1,8.87
m1209782,0.0,1.0,1.0339358095508748,0.0,0.0,1,0.0
l2936216,1.0,1.0,0.0,0.0,1.028507864616998,1,4.07
m1026354,0.0,1.0,1.0324433849024128,1.034107271833192,1.0352109558688534,1,0.0
m1026363,0.0,1.0,0.0,0.0,1.0352206978813991,1,0.0
l3216370,1.0,1.0,1.0377630645867388,1.0388251142062133,1.038965564885846,1,11.51
p893163,0.0,1.0,1.037300180015063,0.0,0.0,1,0.0
m3036170,0.0,1.0,1.0361390078032013,1.0370550522327522,1.0365071575714961,1,0.0
l3141402,1.0,1.0,0.0,0.0,1.0364164158191531,1,10.17
l2841631,1.0,1.0,0.0,0.0,1.036462045918335,1,10.17
l3216350,1.0,1.0,1.035959188025286,0.0,0.0,1,8.87
l3141411,1.0,1.0,0.0,0.0,1.0362321298253987,1,30.52
m1186072,0.0,1.0,1.029850830795254,1.0301144432911662,1.0297647646477879,1,0.0
l3217057,1.0,1.0,1.03393090930263,0.0,0.0,1,3.55
l3217056,1.0,1.0,1.033902966729772,0.0,0.0,1,17.74
226-23745,0.0,1.0,0.0,0.0,1.0277709135341893,1,0.0
l3235275,1.0,1.0,1.0322904848858836,1.0340155350242397,1.035318312827509,1,9.73
m2000100,0.0,1.0,1.0315985727009076,1.0333405039566328,1.0342550970464428,1,0.0
l2897779,1.0,1.0,0.0,0.0,1.035149525109252,1,10.17
m1047316,0.0,1.0,1.037828860503765,1.038895609641034,1.0390336057995713,1,0.0
m1047314,0.0,1.0,1.0372911615914315,0.0,0.0,1,0.0
l2691952,1.0,1.0,1.0361446149376685,1.0370587095673227,1.0365082779984847,1,5.32
l3197642,1.0,1.0,0.0,0.0,1.0364959544698027,1,6.1000000000000005
d6048634-1_int,0.0,1.0,1.0298507907269585,1.0301144048365476,1.0297647245306591,1,0.0
m1209822,0.0,1.0,0.0,0.0,1.0236616475236908,1,0.0
m1026347,0.0,1.0,1.032110101050774,1.0339126429947534,1.0354408774399648,1,0.0
d2000100_int,0.0,1.0,1.0315985616982293,1.0333404939242996,1.0342550852400798,1,0.0
l2804261,1.0,1.0,0.0,0.0,1.0351076113964264,1,6.1
l3235255,1.0,1.0,1.0380520841892575,1.0391460885898787,1.0392686733683765,1,1.95
l2766728,0.0,1.0,0.0,0.0,1.0390336057995713,1,0.0
l2785527,1.0,1.0,1.0377953022080806,0.0,0.0,1,5.32
n1137961,0.0,1.0,1.037250329648858,0.0,0.0,1,0.0
m1047311,0.0,1.0,1.0372869475149766,0.0,0.0,1,0.0
q14414,0.0,1.0,1.036345704000936,1.0371950058525874,1.036548003745487,1,0.0
m1186067,0.0,1.0,1.0294879686493994,1.029786048617002,1.029455056009169,1,0.0
l2992556,1.0,1.0,0.0,0.0,1.0236390001681128,1,6.1
m1209823,0.0,1.0,0.0,0.0,1.0232237189604247,1,0.0
m1026341,0.0,1.0,1.032006942412483,1.0338486135178662,1.0355147408299321,1,0.0
n1145956,0.0,1.0,1.0321078386523699,0.0,0.0,1,0.0
m2000200,0.0,1.0,1.0313041853968328,1.0330733261577638,1.0339219909107433,1,0.0
l3178980,1.0,1.0,0.0,0.0,1.0350865020836113,1,6.1
l2897780,1.0,1.0,1.038241716862897,1.0393584694267572,1.0394692419887117,1,9.73
l2766729,1.0,1.0,1.0377725452530147,0.0,0.0,1,8.870000000000001
l3104133,1.0,1.0,1.0369899895115946,0.0,0.0,1,8.870000000000001
l2748158,1.0,1.0,1.0372849617798354,0.0,0.0,1,5.32
d5835167-6_int,0.0,1.0,1.036345712508538,1.0371950150414433,1.0365480101610662,1,0.0
m3032980,0.0,1.0,1.0290564398898252,1.0293955267811314,1.029086767174274,1,0.0
m1209824,0.0,1.0,0.0,0.0,1.0227238666422807,1,0.0
l2973162,1.0,1.0,1.0319433808217293,1.0337012665098013,1.035638939168752,1,5.84
p827531,0.0,1.0,1.0319641210098085,0.0,0.0,1,0.0
l2729412,1.0,1.0,1.0320990797322647,0.0,0.0,1,8.87
m2000300,0.0,1.0,1.030527067988307,1.0323680704037863,1.0330426038334093,1,0.0
m1047324,0.0,1.0,1.0386417790694917,1.0398022816511105,1.0399016762296507,1,0.0
m1047323,0.0,1.0,1.0367592758857116,0.0,0.0,1,0.0
l3048221,1.0,1.0,1.0365178050949084,1.0373116645642668,1.0365820124796714,1,8.870000000000001
m3032977,0.0,1.0,1.027014157478253,1.0276598317635008,1.0272416432455223,1,0.0
m3032981,0.0,1.0,1.029038761490565,1.0293682589160766,1.029081960073927,1,0.0
m1209828,0.0,1.0,0.0,0.0,1.0213596810521248,1,0.0
m1026333,0.0,1.0,1.031895084877841,1.0335895946073121,1.0357330138104568,1,0.0
m1026343,0.0,1.0,1.0319356561104727,0.0,0.0,1,0.0
m2000400,0.0,1.0,1.029733514418696,1.0316479500300877,1.0321445293581937,1,0.0
m1047325,0.0,1.0,1.0386814487102065,1.0398462884784996,1.0399445551158801,1,0.0
l3010569,1.0,1.0,1.0366867468889926,0.0,0.0,1,13.3
m1026681,0.0,1.0,1.0365893141164568,1.0373071860190533,1.0366608342942591,1,0.0
l3047060,0.0,1.0,1.0367156030583728,1.0376418260409963,1.0365718563714064,1,0.0
m1166366,0.0,1.0,1.0245685412737322,1.025582036287559,1.0250325902441657,1,0.0
d6504019-6_int,0.0,1.0,1.029038758787188,1.0293682549488636,1.0290819570694831,1,0.0
l3253570,1.0,1.0,0.0,0.0,1.0213181051729185,1,10.17
l2861157,1.0,1.0,0.0,0.0,1.0210354621202,1,10.17
m1026331,0.0,1.0,1.0318565724394841,1.033489920594471,1.0358157592491322,1,0.0
n1145955,0.0,1.0,1.0318920095958628,0.0,0.0,1,0.0
m1026344,0.0,1.0,1.031895385422972,0.0,0.0,1,0.0
l2748135,1.0,1.0,1.0319238048002546,0.0,0.0,1,8.87
m2000500,0.0,1.0,1.029467662228355,1.0306561357834314,1.031223972069343,1,0.0
m2000401,0.0,1.0,1.0294764539639643,0.0,0.0,1,0.0
q14412,0.0,1.0,1.0388240856341262,1.0400121632851056,1.0401017171428566,1,0.0
p827532,0.0,1.0,1.0386780290857442,0.0,0.0,1,0.0
m1047335,0.0,1.0,1.0366204114168007,0.0,0.0,1,0.0
d6108145-1_int,0.0,1.0,1.0366553840102515,1.0373030478296883,1.0367336602607116,1,0.0
l3047059,0.0,1.0,1.036715606258241,1.0376418328055608,1.0365718589757678,1,0.0
m1166368,0.0,1.0,1.0242296154350325,1.0253096017658951,1.024751323521452,1,0.0
p830058,0.0,1.0,0.0,0.0,1.025019248392947,1,0.0
m1186065,0.0,1.0,1.0289291744459987,1.0291992220437851,1.029052160298881,1,0.0
l2937757,1.0,1.0,0.0,0.0,1.0212492348403166,1,10.17
p901951,0.0,1.0,0.0,0.0,1.0205327540744293,1,0.0
m1026330,0.0,1.0,1.0318069838705886,1.0333683950169628,1.0359204622162694,1,0.0
l3214055,1.0,1.0,0.0,0.0,1.0358025371815773,1,6.1
m1026335,0.0,1.0,1.0318889648777767,0.0,0.0,1,0.0
l2991919,1.0,1.0,1.0313664552266824,0.0,0.0,1,5.32
m1026364,0.0,1.0,1.0318559260121412,0.0,0.0,1,0.0
m2000600,0.0,1.0,1.029210634509183,1.0296965785175816,1.0303334152844768,1,0.0
d2000401_int,0.0,1.0,1.0294764488413635,0.0,0.0,1,0.0
d5926308-3_int,0.0,1.0,1.0388241076647666,1.0400121851822453,1.0401017415068035,1,0.0
m1047326,0.0,1.0,1.038675439647572,0.0,0.0,1,0.0
l2954354,1.0,1.0,1.0365829239990205,0.0,0.0,1,8.870000000000001
l2710519,1.0,1.0,1.0365558775335322,0.0,0.0,1,3.5500000000000003
l2879078,1.0,1.0,1.0366553891088757,1.0373030502508198,1.036733664071193,1,5.32
l3047058,1.0,1.0,1.0370829211868857,1.0382548380070888,1.0365529934667532,1,13.3
l2973833,1.0,1.0,1.0233795705200455,1.0246011431657698,1.0240381542114998,1,5.84
l3086098,1.0,1.0,1.0242073751779859,0.0,0.0,1,17.740000000000002
m1166370,0.0,1.0,0.0,0.0,1.0250059997735061,1,0.0
m1186064,0.0,1.0,1.0289169612155071,1.0291657049240972,1.029064065081999,1,0.0
p829977,0.0,1.0,1.0288167748916544,1.0290730609972931,1.028950745239999,1,0.0
l3067448,1.0,1.0,0.0,0.0,1.0212073851269672,1,10.17
m1186078,0.0,1.0,0.0,0.0,1.0195291352724285,1,0.0
m1026329,0.0,1.0,1.0317768041130841,1.0332946730097952,1.0359839988611081,1,0.0
l2766726,1.0,1.0,0.0,1.0333622947130927,0.0,1,5.84
l2785526,1.0,1.0,0.0,1.0333457873631673,0.0,1,5.84
l2804259,1.0,1.0,1.0318733577733539,0.0,0.0,1,8.870000000000001
m1026361,0.0,1.0,1.0310327877145828,0.0,0.0,1,0.0
l3010570,1.0,1.0,1.0318479232408297,0.0,0.0,1,5.32
m2000700,0.0,1.0,1.029014111089111,1.0289624591029665,1.0296521260385616,1,0.0
m2000402,1.0,1.0,1.0292193241812766,0.0,0.0,1,11.25
l2860491,1.0,1.0,1.0389684024030024,1.0401799841438717,1.040260727961416,1,18.14
m1047322,0.0,1.0,1.0386667891063373,0.0,0.0,1,0.0
m1047338,0.0,1.0,1.0386618256215308,0.0,0.0,1,0.0
l2673321,1.0,1.0,1.0365652221282535,0.0,0.0,1,8.87
m1047344,0.0,1.0,1.036524581638896,0.0,0.0,1,0.0
m1026690,0.0,1.0,1.0367579812137164,1.0372998072589918,1.0368500117373347,1,0.0
m1026732,0.0,1.0,1.0372628216615019,1.0385929684518442,1.0365394399509804,1,0.0
m1166373,0.0,1.0,1.023045253282205,1.0243239174245755,1.023755328006588,1,0.0
l3067506,1.0,1.0,0.0,0.0,1.024726004869911,1,4.07
m1166364,0.0,1.0,0.0,0.0,1.0249937487838674,1,0.0
m1186063,0.0,1.0,1.0289160514671838,1.029163208247848,1.0290649518432955,1,0.0
m1186061,0.0,1.0,1.0286608622051072,1.028899740034362,1.0287224900526915,1,0.0
l2763407,1.0,1.0,0.0,0.0,1.0211415136161839,1,10.17
l2806553,1.0,1.0,0.0,0.0,1.019055218195911,1,10.17
m1026328,0.0,1.0,1.0317497202248314,1.0332235851793572,1.0360446953581903,1,0.0
l3104135,1.0,1.0,1.0317645740500376,0.0,0.0,1,5.32
m1026366,0.0,1.0,1.0308042708559892,0.0,0.0,1,0.0
l3122825,1.0,1.0,1.0310248535080677,0.0,0.0,1,13.3
m2000800,0.0,1.0,1.0288020960269433,1.0284843372644268,1.0286155456244561,1,0.0
m2000701,0.0,1.0,0.0,1.0287496642976748,0.0,1,0.0
m2000403,1.0,1.0,1.0289787162388364,0.0,0.0,1,12.56
m1047339,0.0,1.0,1.039310322555188,1.040576852042856,1.0406519715250955,1,0.0
l3048211,1.0,1.0,1.038650281088848,0.0,0.0,1,8.870000000000001
l2691953,1.0,1.0,1.03864171825945,0.0,0.0,1,5.32
l3029499,1.0,1.0,1.0365150866654094,0.0,0.0,1,3.55
l3066819,1.0,1.0,1.036506828056361,0.0,0.0,1,8.870000000000001
l2897772,1.0,1.0,1.0365111637797002,0.0,0.0,1,5.32
m1026697,0.0,1.0,1.0368047515197063,1.0373132250231034,1.0369183769631485,1,0.0
n1140830,0.0,1.0,1.03674241627738,0.0,0.0,1,0.0
l2766747,1.0,1.0,1.0373363214000675,1.0387432479793535,1.0365325213023169,1,8.870000000000001
m1026734,0.0,1.0,1.037247833271981,0.0,0.0,1,0.0
m1166374,0.0,1.0,1.0229740650809573,1.0242578145606267,1.0236928848347377,1,0.0
m1166369,0.0,1.0,1.0230254773933924,0.0,0.0,1,0.0
m1166386,0.0,1.0,0.0,0.0,1.0246714668282864,1,0.0
m1166358,0.0,1.0,0.0,0.0,1.0249745036055462,1,0.0
m1209776,0.0,1.0,1.0289135005622794,1.0291552560337038,1.02905691937251,1,0.0
p829979,0.0,1.0,0.0,1.0291589751313552,0.0,1,0.0
l3139366,1.0,1.0,1.028372171726215,1.0286088920594176,1.0284287604715103,1,8.870000000000001
l2861223,1.0,1.0,0.0,1.0288870376232764,0.0,1,9.73
m1166391,0.0,1.0,0.0,0.0,1.0156774468114445,1,0.0
d6140778-1_int,0.0,1.0,0.0,1.0331811031831424,0.0,1,0.0
l3104131,1.0,1.0,1.0305329313177034,0.0,0.0,1,8.870000000000001
l3122824,1.0,1.0,1.0307923870255329,0.0,0.0,1,5.32
l2860489,1.0,1.0,1.0307928769265007,0.0,0.0,1,5.319999999999999
l2991920,1.0,1.0,1.0310166853664888,0.0,0.0,1,5.32
m2000900,0.0,1.0,1.0285186994416393,1.0278450473647192,1.027228668516651,1,0.0
d2000701_int,0.0,1.0,0.0,1.0287496600573622,0.0,1,0.0
m2000404,1.0,1.0,1.028756574455753,0.0,0.0,1,9.71
l2991922,1.0,1.0,1.039595457249013,1.0409328088151577,1.0409885374808656,1,5.32
p895104,0.0,1.0,1.0393046744496024,0.0,0.0,1,0.0
l3101814,0.0,1.0,1.0365111637797002,0.0,0.0,1,0.0
m1026701,0.0,1.0,1.036851003350256,1.0373264944682368,1.0369859829217565,1,0.0
l3216351,1.0,1.0,1.0367308498272554,0.0,0.0,1,8.870000000000001
l2858163,1.0,1.0,1.0376469339762677,1.039437314330908,1.036496569209529,1,5.32
l3065696,1.0,1.0,1.0372329279634123,0.0,0.0,1,8.87
l2786266,1.0,1.0,1.022458730903399,1.023779303302426,1.0232408722726452,1,5.32
l2839305,1.0,1.0,1.0229773293714874,0.0,0.0,1,5.32
p829978,0.0,1.0,1.0230208106637717,0.0,0.0,1,0.0
l2898515,1.0,1.0,0.0,0.0,1.024510642781442,1,10.17
l3048966,1.0,1.0,0.0,0.0,1.0246576410282995,1,6.1
l3030205,1.0,1.0,0.0,0.0,1.0249586417310521,1,10.17
m1209775,0.0,1.0,1.02891072388755,1.029146599955219,1.0290481759330095,1,0.0
m3036172,0.0,1.0,0.0,1.029123770506855,0.0,1,0.0
m4362177,0.0,1.0,1.0281608836266856,1.028361617828437,1.0281905297923786,1,0.0
m1166394,0.0,1.0,0.0,0.0,1.0156583608180123,1,0.0
l3254873,1.0,1.0,0.0,0.0,1.0151289124816745,1,6.1
e182731,0.0,1.0,0.0,1.0331810972987552,0.0,1,0.0
m1026377,0.0,1.0,1.0303746642234382,0.0,0.0,1,0.0
m2001000,0.0,1.0,1.0280680768894135,1.0273398297100218,1.0265891754186538,1,0.0
m2000901,0.0,1.0,0.0,0.0,1.0269964463430867,1,0.0
m2000702,1.0,1.0,0.0,1.0285368212259067,0.0,1,10.52
m2000405,1.0,1.0,1.0285487034889538,0.0,0.0,1,14.93
m1047345,0.0,1.0,1.0398087233008477,1.041203966569055,1.0412422944920132,1,0.0
n1139537,0.0,1.0,1.039294289130525,0.0,0.0,1,0.0
m1026709,0.0,1.0,1.0368712672378924,1.0373587951603036,1.037042807705117,1,0.0
p827560,0.0,1.0,1.0368445748723332,0.0,0.0,1,0.0
l2879081,1.0,1.0,1.0366988900999248,0.0,0.0,1,5.32
l3216346,1.0,1.0,1.0378883245360426,1.040007557310867,1.0364650998013842,1,5.32
m1166375,0.0,1.0,1.0221968580714393,1.0235334647529515,1.0230103463402827,1,0.0
m1166361,0.0,1.0,1.0229145903769103,0.0,0.0,1,0.0
l2992656,1.0,1.0,1.0229587654431658,0.0,0.0,1,13.3
m1166387,0.0,1.0,0.0,0.0,1.0244845003265741,1,0.0
m1209774,0.0,1.0,1.028903954528988,1.0291254967724233,1.029026859764314,1,0.0
l3086079,1.0,1.0,0.0,1.0291230174201913,0.0,1,3.89
m1209763,0.0,1.0,0.0,1.0289701793159032,0.0,1,0.0
m1186052,0.0,1.0,1.0280411447806452,1.0282214814844008,1.028055519576003,1,0.0
m1166398,0.0,1.0,0.0,0.0,1.015643777418717,1,0.0
m1166393,0.0,1.0,0.0,0.0,1.0149609069954049,1,0.0
m1026327,0.0,1.0,0.0,1.0327932369693338,0.0,1,0.0
l3048210,1.0,1.0,1.0303158373780794,0.0,0.0,1,13.3
m1026378,0.0,1.0,1.030251125475018,0.0,0.0,1,0.0
m2001100,0.0,1.0,1.0277600150796735,1.0274978896234268,1.0258662227990547,1,0.0
m2001001,0.0,1.0,0.0,1.0270464507633696,0.0,1,0.0
d2000901_int,0.0,1.0,0.0,0.0,1.0269964417156963,1,0.0
m2000703,1.0,1.0,0.0,1.0283394557324632,0.0,1,9.54
m2000406,1.0,1.0,1.0283628136409229,0.0,0.0,1,12.6
m1047346,0.0,1.0,1.0399708270185806,1.0414232114169126,1.041440588820584,1,0.0
m1047340,0.0,1.0,1.0397540344728995,0.0,0.0,1,0.0
l3122826,1.0,1.0,1.0392178908639715,0.0,0.0,1,8.870000000000001
m1026708,0.0,1.0,1.0368715857710524,1.037359163612137,1.037043430957642,1,0.0
p827561,0.0,1.0,0.0,0.0,1.0370407562634434,1,0.0
n1147866,0.0,1.0,1.0368273609734175,0.0,0.0,1,0.0
m1026682,0.0,1.0,1.0366663881163636,0.0,0.0,1,0.0
m1026767,0.0,1.0,1.037965514837411,1.040200776744743,1.036453796830562,1,0.0
l2842383,1.0,1.0,1.0214700626952995,1.0228385667553352,1.0223666275864414,1,5.319999999999999
p895080,0.0,1.0,1.0221946574249912,0.0,0.0,1,0.0
l2692661,1.0,1.0,1.022893115923289,0.0,0.0,1,8.87
l2989600,0.0,1.0,1.0229093616456937,0.0,0.0,1,0.0
m1166356,0.0,1.0,1.0229199387320145,0.0,0.0,1,0.0
l3198347,1.0,1.0,0.0,0.0,1.0244588747031325,1,6.1
