PrimaryBus,SecondaryBus,LoadNames,Load_kW,PVNames,PV_kW
L2879067.1,SX2879067A,21380616A0a;21380616A0b,0.140513435006142;8.72948656499386,,
L3176656.1,SX3176656A,226193170A0a;226193170A0b,0.590162771344185;8.27983722865581,,
L2710532.3,SX2710532C,293666C0a;293666C0b,2.48720327317715;1.58279672682285,,
L3160115.2,SX3160115B,338994B0a;338994B0b,16.3509107291698;3.09908927083016,,
L3103822.3,SX3103822C,228665517C0a;228665517C0b,6.6563404905796;8.6036595094204,,
L2805034.1,SX2805034A,260647A0a;260647A0b,2.15223591327667;1.39776408672333,,
L3157167.1,SX3157167A,226115278A0a;226115278A0b,3.21195629119873;2.10804370880127,,
L2916620.1,SX2916620A,338977A0a;338977A0b,1.99032206833363;1.55967793166637,,
L2916620.2,SX2916620B,338977B0a;338977B0b,3.37179708838463;0.518202911615372,,
L2916620.3,SX2916620C,338977C0a;338977C0b,0.542889575362206;3.52711042463779,,
L3027132.1,SX3027132A,321876A0a;321876A0b,2.49680269002914;2.82319730997086,,
L2822862.3,SX2822862C,275001C0a;275001C0b,2.97295345067978;3.12704654932022,,
L2937757.3,SX2937757C,227411650C0a;227411650C0b,7.91555637359619;2.25444362640381,,
L2860483.2,SX2860483B,21396699B0a;21396699B0b,1.89975789606571;7.83024210393429,,
L3048210.1,SX3048210A,302412A0a;302412A0b,9.3057895898819;3.9942104101181,,
L3312692.1,SX3312692A,2223661373A0a;2223661373A0b,3.80261896193027;5.06738103806972,,
L3251854.1,SX3251854A,226881700A0a;226881700A0b,8.23745876789093;0.63254123210907,,
L3085398.2,SX3085398B,355777B0a;355777B0b,5.54975885510445;4.18024114489555,,
L3254207.1,SX3254207A,337671A0a;337671A0b,2.52083513259888;2.79916486740112,,
L2729424.1,SX2729424A,339018A0a;339018A0b,3.60381013631821;1.71618986368179,,
L3066816.1,SX3066816A,21398676A0a;21398676A0b,5.15922404050827;0.16077595949173,,
L2785518.3,SX2785518C,138469C0a;138469C0b,4.01072108745575;2.08927891254425,,
L3029503.3,SX3029503C,138373C0a;138373C0b,3.10627183914185;2.99372816085815,,
L2748140.1,SX2748140A,391995A0a;391995A0b,2.57831724762917;6.29168275237083,,
L2891575.3,SX2891575C,225533423C0a;225533423C0b,3.07316675782204;3.02683324217796,PV_1079,6.1
L2842329.3,SX2842329C,260568C0a;260568C0b,3.30933228731155;2.79066771268845,,
L3254212.2,SX3254212B,138754B0a;138754B0b,3.00803367257118;11.5819663274288,,
L3198348.1,SX3198348A,260552A0a;260552A0b,10.7399688124657;7.00003118753433,,
L3178979.3,SX3178979C,338968C0a;338968C0b,7.15152961969376;8.10847038030624,,
L2879054.1,SX2879054A,247061A0a;247061A0b,5.38110441029072;3.48889558970928,,
L3085388.2,SX3085388B,391746B0a;391746B0b,0.342574118971825;3.54742588102818,,
L2991914.3,SX2991914C,338941C0a;338941C0b,3.72780755162239;2.37219244837761,,
L2785534.2,SX2785534B,338982B0a;338982B0b,8.35701242983341;1.37298757016659,,
L3122835.2,SX3122835B,339008B0a;339008B0b,0.496164216995239;5.34383578300476,,
L3085395.1,SX3085395A,21391094A0a;21391094A0b,4.96046211481094;0.359537885189057,,
L2879064.1,SX2879064A,138581A0a;138581A0b,5.37039572954178;3.49960427045822,,
L3066814.2,SX3066814B,338979B0a;338979B0b,3.09830325841904E-02;3.85901696741581,,
L2821087.1,SX2821087A,226308720A0a;226308720A0b,20.432695710659;6.16730428934097,,
L2860479.2,SX2860479B,355595B0a;355595B0b,2.25281706750393;1.63718293249607,,
L3728042.1,SX3728042A,2224387113A0a;2224387113A0b,4.81214393377304;8.48785606622696,,
L2935557.1,SX2935557A,21397005A0a;21397005A0b,9.95471849441528;3.34528150558472,,
L2822864.3,SX2822864C,274985C0a;274985C0b,5.90283004641533;0.197169953584671,,
L3235247.1,SX3235247A,321836A0a;321836A0b,0.71672101020813;4.60327898979187,,
L3251807.1,SX3251807A,225673440A0a;225673440A0b,1.93264644861221;6.93735355138779,,
L2804282.3,SX2804282C,337641C0a;337641C0b,0.784515637159347;5.31548436284065,,
L2935560.3,SX2935560C,293659C0a;293659C0b,4.12576189041138;1.97423810958862,,
L3104145.2,SX3104145B,339011B0a;339011B0b,1.97022500991821;3.86977499008179,,
L3086078.1,SX3086078A,218473A0a;218473A0b,1.51733362078667;7.35266637921333,,
L2860477.1,SX2860477A,2121587A0a;2121587A0b,2.16476374864578;3.15523625135422,,
L3645811.3,SX3645811C,2224230689C0a;2224230689C0b,2.94756062030792;27.5724393796921,,
L3102793.2,SX3102793B,227734175B0a;227734175B0b,1.50901559174061;8.22098440825939,,
L2991910.2,SX2991910B,337694B0a;337694B0b,2.05955041408539;3.78044958591461,,
L2710511.1,SX2710511A,21357515A0a;21357515A0b,6.06006437659264;2.80993562340736,,
L2860486.3,SX2860486C,2127390C0a;2127390C0b,1.67188023328781;4.42811976671219,,
L2935551.3,SX2935551C,21387929C0a;21387929C0b,5.20206261873245;0.897937381267548,PV_1035,6.1
L2729409.2,SX2729409B,355605B0a;355605B0b,2.05425742685795;7.67574257314205,,
L2973833.2,SX2973833B,260630B0a;260630B0b,5.81359171867371;2.64082813262938E-02,,
L2897769.3,SX2897769C,337660C0a;337660C0b,0.617057729959488;9.55294227004051,,
L3216368.3,SX3216368C,293663C0a;293663C0b,4.29804822206497;1.80195177793503,PV_1069,6.1
L2860490.1,SX2860490A,138719A0a;138719A0b,0.183259337544441;8.68674066245556,,
L2861158.3,SX2861158C,251858C0a;251858C0b,5.36943990826607;4.80056009173393,,
L3141399.3,SX3141399C,302804C0a;302804C0b,11.2695054376125;3.99049456238747,,
L3122816.2,SX3122816B,356062B0a;356062B0b,2.71191506922245;7.01808493077755,,
L2992556.3,SX2992556C,346639C0a;346639C0b,2.26377986073494;3.83622013926506,PV_1061,6.1
L2897779.3,SX2897779C,302508C0a;302508C0b,6.26153873741627;3.90846126258373,,
L2970811.1,SX2970811A,321881A0a;321881A0b,1.88709582865238;6.98290417134762,,
L2991933.3,SX2991933C,355433C0a;355433C0b,12.6258551645279;7.71414483547211,,
L2729428.1,SX2729428A,21398402A0a;21398402A0b,3.0262882399559;2.2937117600441,PV_1037,5.32
L3254216.1,SX3254216A,21398563A0a;21398563A0b,8.39041023910046;0.479589760899543,,
L2897807.2,SX2897807B,21386771B0a;21386771B0b,5.40890376091003;0.431096239089966,,
L2898522.1,SX2898522A,260648A0a;260648A0b,4.44832888424396;4.42167111575603,,
L3048230.3,SX3048230C,293490C0a;293490C0b,6.87909171581268;3.29090828418732,,
L3195327.1,SX3195327A,225901711A0a;225901711A0b,1.40497815132141;3.91502184867859,,
L3047058.1,SX3047058A,227902981A0a;227902981A0b,7.39414987564087;5.90585012435913,,
L2673313.2,SX2673313B,321853B0a;321853B0b,1.11543093681335;8.61456906318665,,
L3649302.1,SX3649302A,2224237653A0a;2224237653A0b,13.1402775943279;0.159722405672074,,
L3729297.1,SX3729297A,2224386592A0a;2224386592A0b,0.356624181866646;8.51337581813335,,
L2858163.1,SX2858163A,391990A0a;391990A0b,1.02894933462143;4.29105066537857,,
L3214112.2,SX3214112B,226881057B0a;226881057B0b,2.44486710071564;3.39513289928436,,
L2685805.1,SX2685805A,225533531A0a;225533531A0b,6.04724568128586;2.82275431871414,,
L2991912.1,SX2991912A,247056A0a;247056A0b,2.29926190376282;3.02073809623718,,
L3140238.1,SX3140238A,227905262A0a;227905262A0b,3.35371243953705E-02;8.83646287560463,,
L3066830.2,SX3066830B,21469960B0a;21469960B0b,0.198440264463425;9.53155973553658,,
L3160878.3,SX3160878C,260511C0a;260511C0b,2.60537000894547;3.49462999105453,,
L2916609.3,SX2916609C,138346C0a;138346C0b,0.640997141599655;5.45900285840034,,
L2876814.1,SX2876814A,225806974A0a;225806974A0b,0.609553623199463;2.94044637680054,,
L3197646.2,SX3197646B,355944B0a;355944B0b,3.41216795384884;6.31783204615116,,
L2973151.1,SX2973151A,138569A0a;138569A0b,3.8825451207161;1.43745487928391,,
L3197627.3,SX3197627C,337625C0a;337625C0b,4.99517575442791;5.17482424557209,,
L2764412.1,SX2764412A,321874A0a;321874A0b,3.05308479785919;5.81691520214081,,
L2766716.3,SX2766716C,337713C0a;337713C0b,5.26529317498207;0.834706825017929,,
L2991917.2,SX2991917B,391757B0a;391757B0b,0.189729252457619;3.70027074754238,,
L3254229.2,SX3254229B,338998B0a;338998B0b,8.2608039945364;1.4691960054636,,
L2935556.2,SX2935556B,356064B0a;356064B0b,0.475152751803398;9.2548472481966,,
L3197660.2,SX3197660B,323275B0a;323275B0b,4.60049784719944;5.12950215280056,,
L2989565.1,SX2989565A,21389237A0a;21389237A0b,6.4114026838541;2.4585973161459,,
L3645809.3,SX3645809C,2224230615C0a;2224230615C0b,12.4899643278122;7.85003567218781,,
L3086075.2,SX3086075B,260463B0a;260463B0b,1.2749899148941;4.5650100851059,,
L3122824.1,SX3122824A,302402A0a;302402A0b,3.60901305913925;1.71098694086075,,
L3216338.2,SX3216338B,355599B0a;355599B0b,8.89050093352795;0.839499066472053,,
L2729405.2,SX2729405B,21393412B0a;21393412B0b,8.40809064745903;1.32190935254097,,
L2823545.1,SX2823545A,356807A0a;356807A0b,1.41786211013794;7.45213788986206,,
L2916610.2,SX2916610B,293660B0a;293660B0b,0.244389376044273;9.48561062395573,,
L3177665.1,SX3177665A,227731863A0a;227731863A0b,0.795474356412888;12.5045256435871,,
L2803199.1,SX2803199A,227760021A0a;227760021A0b,6.33390524864197;11.406094751358,,
L2803199.2,SX2803199B,227760021B0a;227760021B0b,18.8070685118437;0.642931488156318,PV_1041,19.45
L2803199.3,SX2803199C,227760021C0a;227760021C0b,8.694455473423;11.645544526577,,
L2691952.1,SX2691952A,391980A0a;391980A0b,2.71750009775162;2.60249990224838,,
L2748144.1,SX2748144A,338984A0a;338984A0b,7.40518094599247;1.46481905400753,,
L3029504.2,SX3029504B,337702B0a;337702B0b,3.6717271655798;6.0582728344202,,
L3197635.2,SX3197635B,337696B0a;337696B0b,1.16481211185455;4.67518788814545,,
L2724120.3,SX2724120C,225577437C0a;225577437C0b,5.13315609097481;5.03684390902519,,
L3235244.1,SX3235244A,337676A0a;337676A0b,5.98416359484196;2.88583640515804,,
L2804254.1,SX2804254A,323418A0a;323418A0b,6.63408878803253;2.23591121196747,,
L2820531.2,SX2820531B,226192936B0a;226192936B0b,1.3395921254158;8.3904078745842,,
L3254214.2,SX3254214B,337706B0a;337706B0b,4.56219425857067;5.16780574142933,PV_1023,9.73
L2691966.2,SX2691966B,339010B0a;339010B0b,14.4756184369326;4.97438156306744,,
L3122822.1,SX3122822A,391987A0a;391987A0b,2.31490273416042;6.55509726583958,,
L3197639.1,SX3197639A,310569A0a;310569A0b,0.260355494618416;8.60964450538158,,
L3120503.1,SX3120503A,225869139A0a;225869139A0b,3.55880016088486;1.76119983911514,,
L3216349.2,SX3216349B,337708B0a;337708B0b,5.20576439380646;0.634235606193543,,
L3027670.2,SX3027670B,226308719B0a;226308719B0b,27.4573986101151;1.72260138988495,,
L3085392.3,SX3085392C,337630C0a;337630C0b,1.96811455488205;4.13188544511795,,
L3010556.1,SX3010556A,138655A0a;138655A0b,3.01712541341782;2.30287458658218,,
L3232902.1,SX3232902A,226194826A0a;226194826A0b,7.89431150436401;0.975688495635986,,
L3101782.1,SX3101782A,356808A0a;356808A0b,4.17474545836449;9.12525454163551,,
L2766715.2,SX2766715B,355593B0a;355593B0b,3.6337483215332;2.2062516784668,,
L2970804.3,SX2970804C,356787C0a;356787C0b,8.368930554986;1.801069445014,,
L3178975.2,SX3178975B,321845B0a;321845B0b,9.48545577645302;0.244544223546981,,
L2841648.1,SX2841648A,337720A0a;337720A0b,0.957485883235931;4.36251411676407,,
L3029497.3,SX3029497C,337631C0a;337631C0b,1.6204492610693;2.4495507389307,,
L3029520.2,SX3029520B,21486213B0a;21486213B0b,1.86472555160522;3.97527444839478,,
L2766744.2,SX2766744B,2127319B0a;2127319B0b,3.5504896903038;6.1795103096962,,
L3029518.2,SX3029518B,337666B0a;337666B0b,2.56342501342297;7.16657498657703,,
L2936214.1,SX2936214A,356809A0a;356809A0b,5.50387067198753;3.36612932801247,PV_1127,8.87
L2954346.2,SX2954346B,323397B0a;323397B0b,9.70821521818638;2.17847818136221E-02,,
L2879061.2,SX2879061B,337692B0a;337692B0b,1.71296565830708;2.17703434169292,,
L3141394.2,SX3141394B,339042B0a;339042B0b,6.13051296412945;3.59948703587055,,
L3142098.2,SX3142098B,260501B0a;260501B0b,0.486125466227531;9.24387453377247,,
L3645812.3,SX3645812C,2224230754C0a;2224230754C0b,10.6278751313686;4.63212486863136,,
L2916627.1,SX2916627A,138563A0a;138563A0b,6.43954766631126;2.43045233368874,,
L3066815.3,SX3066815C,338936C0a;338936C0b,4.48047381341457;5.68952618658543,,
L3179678.2,SX3179678B,247185B0a;247185B0b,4.08162429332733;1.75837570667267,,
L3254237.1,SX3254237A,21482181A0a;21482181A0b,1.11702299118042E-02;8.85882977008819,,
L2710512.2,SX2710512B,323280B0a;323280B0b,4.91681417822838;4.81318582177162,,
L3104125.2,SX3104125B,138264B0a;138264B0b,0.721058705449104;9.0089412945509,,
L3010559.1,SX3010559A,337679A0a;337679A0b,0.124479484558105;5.19552051544189,,
L2897790.3,SX2897790C,21357984C0a;21357984C0b,3.1675768750906;7.0024231249094,,
L2711225.3,SX2711225C,260553C0a;260553C0b,3.18574243187904;2.91425756812096,,
L2766729.1,SX2766729A,293523A0a;293523A0b,2.70731521606445;6.16268478393555,,
L3235275.2,SX3235275B,302507B0a;302507B0b,3.89308312058449;5.83691687941551,,
L3728038.1,SX3728038A,2224387019A0a;2224387019A0b,3.24342386603355;5.62657613396645,,
L3048222.3,SX3048222C,355431C0a;355431C0b,12.6059948134422;2.65400518655777,,
L2841630.3,SX2841630C,138404C0a;138404C0b,8.31935176134109;1.85064823865891,,
L2991907.1,SX2991907A,138574A0a;138574A0b,5.82470866858959;3.04529133141041,,
L2973144.3,SX2973144C,138466C0a;138466C0b,8.10096781075001;2.06903218924999,,
L3178976.1,SX3178976A,21397721A0a;21397721A0b,1.49835837602615;3.82164162397385,,
L3159448.1,SX3159448A,337684A0a;337684A0b,6.21593634903431;2.65406365096569,,
L3231255.3,SX3231255C,339051C0a;339051C0b,3.26646471261978;6.90353528738022,,
L3197626.3,SX3197626C,337623C0a;337623C0b,5.67513430714607;0.424865692853928,,
L2802480.2,SX2802480B,226308725B0a;226308725B0b,3.50577089309692;25.6742291069031,,
L2823544.1,SX2823544A,356804A0a;356804A0b,2.63107659935951;6.23892340064049,,
L2841624.2,SX2841624B,355604B0a;355604B0b,2.25541954994202;3.58458045005798,,
L3101194.3,SX3101194C,21459660C0a;21459660C0b,30.1838477301598;0.336152269840241,PV_1151,30.52
L2841619.3,SX2841619C,337636C0a;337636C0b,11.5246525907516;3.73534740924835,,
L2861218.3,SX2861218C,260505C0a;260505C0b,0.644601302146912;9.52539869785309,,
L2710513.2,SX2710513B,325245B0a;325245B0b,1.8703800624609;2.0196199375391,,
L2879062.3,SX2879062C,21385192C0a;21385192C0b,5.4941080391407;0.605891960859299,,
L2879767.2,SX2879767B,260496B0a;260496B0b,2.86043712198734;1.02956287801266,,
L2766725.3,SX2766725C,21399220C0a;21399220C0b,5.06255522966385;1.03744477033615,,
L3141396.3,SX3141396C,337655C0a;337655C0b,4.42932033538818;1.67067966461182,,
L2879752.2,SX2879752B,330122B0a;330122B0b,5.09344548225403;0.746554517745972,,
L2991940.3,SX2991940C,2148060C0a;2148060C0b,2.55368010997772;3.54631989002228,,
L2673321.1,SX2673321A,302674A0a;302674A0b,4.93276358962059;3.93723641037941,,
L2673326.2,SX2673326B,355601B0a;355601B0b,2.05569008350372;3.78430991649628,,
L2925506.3,SX2925506C,225533703C0a;225533703C0b,2.79935390353203;7.37064609646797,,
L2730106.3,SX2730106C,356814C0a;356814C0b,0.711173724532127;9.45882627546787,,
L2820556.1,SX2820556A,226196648A0a;226196648A0b,1.93807824254036;6.93192175745964,,
L3235248.3,SX3235248C,321861C0a;321861C0b,1.33552430272102;4.76447569727898,,
L2822871.2,SX2822871B,355840B0a;355840B0b,3.48039538741112;6.24960461258888,,
L2955076.1,SX2955076A,21243817A0a;21243817A0b,4.93045683860779;0.389543161392212,,
L2955005.2,SX2955005B,260589B0a;260589B0b,0.384714488983154;5.45528551101685,PV_1021,5.84
L3254208.3,SX3254208C,338961C0a;338961C0b,9.71219949781895;0.457800502181053,,
L3178978.1,SX3178978A,337723A0a;337723A0b,0.539187757968903;4.7808122420311,,
L3235253.1,SX3235253A,138573A0a;138573A0b,6.42777684092522;2.44222315907478,,
L3235241.3,SX3235241C,321888C0a;321888C0b,1.44766573727131;8.72233426272869,,
L3197636.2,SX3197636B,2148580B0a;2148580B0b,8.97155983150005;0.758440168499947,,
L3066811.2,SX3066811B,2126875B0a;2126875B0b,1.80550564289093;7.92449435710907,,
L3632979.1,SX3632979A,2224192013A0a;2224192013A0b,3.28602913141251;2.03397086858749,,
L3086074.3,SX3086074C,260532C0a;260532C0b,3.50269619822502;2.59730380177498,,
L2674051.1,SX2674051A,21389831A0a;21389831A0b,1.12086584091187;4.19913415908814,PV_1027,5.32
L3178981.2,SX3178981B,21396331B0a;21396331B0b,7.6309469884634;2.0990530115366,PV_1031,9.73
L3046854.2,SX3046854B,227732939B0a;227732939B0b,8.96460776925087;5.62539223074913,,
L2860506.2,SX2860506B,321856B0a;321856B0b,5.38892019748688;0.451079802513123,,
L3048966.3,SX3048966C,260625C0a;260625C0b,5.76219880580902;0.337801194190979,,
L2822872.2,SX2822872B,338950B0a;338950B0b,3.41937967181206;6.31062032818794,,
L3214071.3,SX3214071C,226194419C0a;226194419C0b,2.13793476462364;8.03206523537636,,
L2786273.2,SX2786273B,275247B0a;275247B0b,1.99903022408485;7.73096977591515,,
L3104853.3,SX3104853C,260518C0a;260518C0b,9.57633290827274;0.593667091727257,,
L2973158.3,SX2973158C,138259C0a;138259C0b,0.616065526008606;5.48393447399139,,
L3216123.1,SX3216123A,338926A0a;338926A0b,5.10141096830368;0.21858903169632,,
L2860485.2,SX2860485B,321855B0a;321855B0b,3.03824307441711;2.80175692558289,,
L3235946.1,SX3235946A,356800A0a;356800A0b,8.50691148638725;0.363088513612746,,
L2973148.1,SX2973148A,339047A0a;339047A0b,5.25969530403614;3.61030469596386,PV_1143,8.87
L3066829.3,SX3066829C,321894C0a;321894C0b,4.30385803699493;5.86614196300507,,
L3085393.3,SX3085393C,337627C0a;337627C0b,0.026844647526741;10.1431553524733,,
L2673322.2,SX2673322B,355358B0a;355358B0b,1.60366332888603;2.28633667111397,,
L3263051.3,SX3263051C,2212371533C0a;2212371533C0b,8.12651887178421;2.04348112821579,,
L2860500.2,SX2860500B,323274B0a;323274B0b,0.634838151931763;5.20516184806824,,
L3048211.1,SX3048211A,21396015A0a;21396015A0b,4.9761328214407;3.8938671785593,,
L3728041.1,SX3728041A,2224387074A0a;2224387074A0b,4.76825805723667;4.10174194276333,,
L3048199.2,SX3048199B,323237B0a;323237B0b,2.73804545879364;3.10195454120636,,
L3104136.2,SX3104136B,338949B0a;338949B0b,4.33923678874969;1.50076321125031,,
L2916599.1,SX2916599A,356015A0a;356015A0b,5.44904307246208;3.42095692753792,,
L3104134.3,SX3104134C,138718C0a;138718C0b,8.46614170074463;1.70385829925537,PV_1129,10.17
L2954344.3,SX2954344C,338959C0a;338959C0b,0.452776488661766;9.71722351133823,,
L3142099.2,SX3142099B,157718B0a;157718B0b,9.14856792569161;0.581432074308395,,
L2710515.3,SX2710515C,321884C0a;321884C0b,7.7733186340332;7.4866813659668,,
L3011298.3,SX3011298C,207286C0a;207286C0b,1.35406212985516;2.71593787014484,,
L3066812.1,SX3066812A,323263A0a;323263A0b,8.00908233880997;0.860917661190033,,
L3141403.1,SX3141403A,21399707A0a;21399707A0b,7.37350323557854;1.49649676442146,,
L3120484.3,SX3120484C,226191772C0a;226191772C0b,3.03838407993317;3.06161592006683,,
